time;true_x_rob0; true_y_rob0; true_heading_rob0;true_x_rob1; true_y_rob1; true_heading_rob1;true_x_rob2; true_y_rob2; true_heading_rob2;true_x_rob3; true_y_rob3; true_heading_rob3;true_x_rob4; true_y_rob4; true_heading_rob4
0.432;-1.97623; 0.00216841; -1.65109;-1.85629; 0.0895684; -0.0651785;-1.86643; -0.0951826; -2.94451;-1.86775; 0.210986; -2.4929;-1.8721; -0.21748; -0.564106
0.448;-1.97464; 0.00229694; -1.65173;-1.8563; 0.0895682; 0.00566797;-1.8664; -0.0949987; -3.02161;-1.86673; 0.212357; -2.50505;-1.87134; -0.218692; -0.557569
0.464;-1.97306; 0.00242634; -1.65236;-1.8563; 0.0895701; 0.0762818;-1.86641; -0.0949877; -3.10552;-1.86571; 0.213754; -2.51638;-1.87061; -0.219889; -0.551468
0.48;-1.97147; 0.00255663; -1.653;-1.85631; 0.0895086; 0.149741;-1.86642; -0.0950159; 3.09278;-1.8647; 0.215168; -2.52743;-1.86987; -0.221091; -0.545371
0.496;-1.96989; 0.00268784; -1.65363;-1.85632; 0.0894341; 0.223731;-1.86642; -0.0950506; 3.00805;-1.86372; 0.216593; -2.53849;-1.86915; -0.222297; -0.539275
0.512;-1.96832; 0.00281894; -1.65472;-1.85635; 0.0893079; 0.299899;-1.86642; -0.0950778; 2.92395;-1.86316; 0.217416; -2.53232;-1.86879; -0.222907; -0.554241
0.528;-1.96675; 0.00295176; -1.65581;-1.8564; 0.0892487; 0.378223;-1.8664; -0.0951659; 2.84322;-1.8626; 0.218236; -2.5261;-1.86841; -0.223511; -0.569187
0.544;-1.96518; 0.00308632; -1.65691;-1.85642; 0.0892451; 0.461912;-1.86636; -0.0953313; 2.76647;-1.86203; 0.219051; -2.51993;-1.86803; -0.22411; -0.584112
0.56;-1.96361; 0.00322261; -1.65801;-1.85642; 0.0892528; 0.545732;-1.86632; -0.0955308; 2.69184;-1.86145; 0.219862; -2.51382;-1.86764; -0.224703; -0.599015
0.576;-1.96203; 0.00336158; -1.65873;-1.85641; 0.0892587; 0.629126;-1.86632; -0.095723; 2.62012;-1.86105; 0.220412; -2.48765;-1.86734; -0.225139; -0.635135
0.592;-1.96044; 0.00350165; -1.65944;-1.85641; 0.0892635; 0.712125;-1.86632; -0.0959711; 2.54906;-1.86064; 0.220952; -2.46149;-1.86703; -0.225564; -0.671287
